# Malda BuiltInRegistry inventory (Phase 0)
# Source: MaldaLang/BuiltIns/BuiltInRegistry.cs
# Regenerate: scripts/generate-core-builtin-inventory.ps1
# Format: symbol -> tier | note
# Optional-pack / vertical symbols must NOT appear here (enforced by OptionalPackRegistryGuardTests)

# count: 347

abs -> tier1-core | BuiltInRegistry
acos -> stdlib-general | BuiltInRegistry
addDays -> stdlib-general | BuiltInRegistry
addHours -> stdlib-general | BuiltInRegistry
all -> stdlib-general | BuiltInRegistry
append -> stdlib-general | BuiltInRegistry
approveWorkflowStep -> platform-workflow | BuiltInRegistry
argmax -> stdlib-general | BuiltInRegistry
argmin -> stdlib-general | BuiltInRegistry
asin -> stdlib-general | BuiltInRegistry
assert -> stdlib-general | BuiltInRegistry
atan -> stdlib-general | BuiltInRegistry
atan2 -> stdlib-general | BuiltInRegistry
average -> tier1-core | BuiltInRegistry
base64Decode -> stdlib-general | BuiltInRegistry
base64Encode -> stdlib-general | BuiltInRegistry
bindForm -> stdlib-general | BuiltInRegistry
cancelWorkflow -> platform-workflow | BuiltInRegistry
ceil -> tier1-core | BuiltInRegistry
claimJob -> stdlib-general | BuiltInRegistry
clamp -> tier1-core | BuiltInRegistry
clearAgentProgress -> stdlib-general | BuiltInRegistry
compileMALDA -> platform-ai | BuiltInRegistry
completeJob -> stdlib-general | BuiltInRegistry
componentFragment -> platform-ui | BuiltInRegistry
componentLiveEmit -> platform-ui | BuiltInRegistry
componentStateClear -> platform-ui | BuiltInRegistry
componentStateConfigure -> platform-ui | BuiltInRegistry
componentStateGet -> platform-ui | BuiltInRegistry
componentStateObject -> platform-ui | BuiltInRegistry
componentStatePin -> platform-ui | BuiltInRegistry
componentStateSet -> platform-ui | BuiltInRegistry
componentStateUnpin -> platform-ui | BuiltInRegistry
composePipe -> stdlib-general | BuiltInRegistry
cos -> tier1-core | BuiltInRegistry
createAskUserTool -> platform-ai | BuiltInRegistry
createCompileMALDATool -> platform-ai | BuiltInRegistry
createCreateMcpAgentScriptTool -> platform-ai | BuiltInRegistry
createEditFileTool -> platform-ai | BuiltInRegistry
createGetParseErrorsTool -> platform-ai | BuiltInRegistry
createGetSymbolsTool -> platform-ai | BuiltInRegistry
createGitAddTool -> platform-ai | BuiltInRegistry
createGitBranchTool -> platform-ai | BuiltInRegistry
createGitCheckoutTool -> platform-ai | BuiltInRegistry
